Timeslot,Begin,End,Distance,Node per round,Node PoD,Total time,Total node
3600,0,3599.9,1000,284,121,36000,300
3600,3600,7199.9,1000,302,0,36000,300
3600,7200,10799.9,1000,291,131,36000,300
3600,10800,14399.9,1000,295,4,36000,300
3600,14400,17999.9,1000,291,0,36000,300
3600,18000,21599.9,1000,294,5,36000,300
3600,21600,25199.9,1000,289,141,36000,300
3600,25200,28799.9,1000,296,140,36000,300
3600,28800,32399.9,1000,294,135,36000,300
3600,32400,35999.9,1000,290,130,36000,300
3600,0,3599.9,1500,284,47,36000,300
3600,3600,7199.9,1500,302,0,36000,300
3600,7200,10799.9,1500,291,37,36000,300
3600,10800,14399.9,1500,295,38,36000,300
3600,14400,17999.9,1500,291,30,36000,300
3600,18000,21599.9,1500,294,40,36000,300
3600,21600,25199.9,1500,289,39,36000,300
3600,25200,28799.9,1500,296,46,36000,300
3600,28800,32399.9,1500,294,0,36000,300
3600,32400,35999.9,1500,290,36,36000,300
3600,0,3599.9,2000,284,9,36000,300
3600,3600,7199.9,2000,302,7,36000,300
3600,7200,10799.9,2000,291,4,36000,300
3600,10800,14399.9,2000,295,0,36000,300
3600,14400,17999.9,2000,291,6,36000,300
3600,18000,21599.9,2000,294,5,36000,300
3600,21600,25199.9,2000,289,3,36000,300
3600,25200,28799.9,2000,296,0,36000,300
3600,28800,32399.9,2000,294,1,36000,300
3600,32400,35999.9,2000,290,5,36000,300
